product_type,ram,storage,color,merchant_city,price,daily_view,brand_asus,brand_honor,brand_huawei,brand_infinix,brand_nokia,brand_oppo,brand_realme,brand_samsung,brand_vivo,brand_xiaomi,cod_True,merchant_badge_PM,merchant_badge_RM
200,-0.4001787346698652,-0.2528117205802297,9,70,-0.6532954874711147,0.24948669749495328,False,False,False,False,False,False,False,False,True,False,False,True,False
265,0.11609683506251094,-0.2528117205802297,7,70,-0.44521017635907784,-0.1040542113470962,False,False,False,False,False,False,False,False,False,True,False,True,False
201,0.11609683506251094,-0.2528117205802297,7,70,-0.5867897779691763,-0.22083435529634052,False,False,False,False,False,False,False,False,True,False,False,True,False
95,-0.4001787346698652,-0.7066392746783967,9,71,-0.7253118569922001,-0.883731298206345,False,False,False,False,False,True,False,False,False,False,False,True,False
137,-0.4001787346698652,-0.7066392746783967,7,113,-0.6349732995191844,-0.007402510630120278,False,False,False,False,False,False,False,True,False,False,False,True,False
125,-0.4001787346698652,-0.7066392746783967,9,72,-0.6884828849180223,-0.007402510630120278,False,False,False,False,False,False,True,False,False,False,False,True,False
134,-0.9164543044022413,-0.7066392746783967,0,71,-0.9270577526511028,2.163006342177822,False,False,False,False,False,False,False,True,False,False,False,False,False
14,-0.4001787346698652,0.6548433876161043,9,74,0.9742421345199831,-1.0455289123938831,False,False,False,False,False,False,False,False,False,False,False,False,True
20,0.11609683506251094,-0.2528117205802297,9,116,2.204215921903803,0.8218277011571126,False,False,False,False,False,False,False,False,False,False,False,False,True
264,0.11609683506251094,-0.2528117205802297,0,71,-0.8838457942308641,1.247752085485741,False,False,False,False,False,False,False,False,False,True,False,False,False
142,0.11609683506251094,-0.2528117205802297,9,70,0.15295805351125402,-0.883731298206345,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0.11609683506251094,2.470153604008772,0,71,2.4104893712922095,-0.6556903689642588,False,False,False,False,False,False,False,False,False,False,False,True,False
3,-1.4327298741346175,6.100774036794108,2,70,3.024411962401533,1.0003155054712147,False,False,False,False,False,False,False,False,False,False,False,True,False
134,-0.9164543044022413,-0.7066392746783967,9,74,-0.9627777729451942,1.0827679577693172,False,False,False,False,False,False,False,True,False,False,False,True,False
9,-1.4327298741346175,-0.7066392746783967,2,98,0.43272142987778905,-1.2735698416359693,False,False,False,False,False,False,False,False,False,False,False,True,False
167,-0.4001787346698652,-0.7066392746783967,9,113,-0.3654284250895294,-0.4938927547767206,False,False,False,False,False,False,False,True,False,False,False,True,False
12,-0.9164543044022413,-0.7066392746783967,3,106,0.6465635729938989,-1.2735698416359693,False,False,False,False,False,False,False,False,False,False,False,True,False
71,0.11609683506251094,-0.2528117205802297,0,98,-1.1085391046944468,0.8482993227554467,False,False,False,True,False,False,False,False,False,False,False,True,False
133,-0.9164543044022413,-0.7066392746783967,9,63,-0.8419119655898274,-0.06995782470984732,False,False,False,False,False,False,False,True,False,False,False,True,False
267,1.1486479745272633,0.6548433876161043,10,71,-0.22761257035462418,2.138771426187746,False,False,False,False,False,False,False,False,False,True,False,False,False
265,0.11609683506251094,-0.2528117205802297,9,80,-0.382318023006466,-0.3147886017616418,False,False,False,False,False,False,False,False,False,True,False,False,True
128,-0.9164543044022413,-0.7066392746783967,0,70,-1.014896734481159,-0.42764943972217256,False,False,False,False,False,False,True,False,False,False,False,True,False
